,movie_id,title,tags
0,19995,Avatar,"['22nd', 'century,', 'paraplegic', 'marine', 'dispatched', 'moon', 'pandora', 'unique', 'mission,', 'becomes', 'torn', 'following', 'orders', 'protecting', 'alien', 'civilization.', 'action', 'adventure', 'fantasy', 'science fiction', 'cultureclash', 'future', 'spacewar', 'spacecolony', 'society', 'spacetravel', 'futuristic', 'romance', 'space', 'alien', 'tribe', 'alienplanet', 'cgi', 'marine', 'soldier', 'battle', 'loveaffair', 'antiwar', 'powerrelations', 'mindandsoul', '3d', 'samworthington', 'zoesaldana', 'sigourneyweaver', 'jamescameron']"
1,285,Pirates of the Caribbean: At World's End,"['captain', 'barbossa,', 'long', 'believed', 'dead,', 'come', 'back', 'life', 'headed', 'edge', 'earth', 'turner', 'elizabeth', 'swann.', 'nothing', 'quite', 'seems.', 'adventure', 'fantasy', 'action', 'ocean', 'drugabuse', 'exoticisland', 'eastindiatradingcompany', ""loveofone'slife"", 'traitor', 'shipwreck', 'strongwoman', 'ship', 'alliance', 'calypso', 'afterlife', 'fighter', 'pirate', 'swashbuckler', 'aftercreditsstinger', 'johnnydepp', 'orlandobloom', 'keiraknightley', 'goreverbinski']"
2,206647,Spectre,"['cryptic', 'message', 'bond’s', 'past', 'sends', 'trail', 'uncover', 'sinister', 'organization.', 'battles', 'political', 'forces', 'keep', 'secret', 'service', 'alive,', 'bond', 'peels', 'back', 'layers', 'deceit', 'reveal', 'terrible', 'truth', 'behind', 'spectre.', 'action', 'adventure', 'crime', 'spy', 'basedonnovel', 'secretagent', 'sequel', 'mi6', 'britishsecretservice', 'unitedkingdom', 'danielcraig', 'christophwaltz', 'léaseydoux', 'sammendes']"
3,49026,The Dark Knight Rises,"['following', 'death', 'district', 'attorney', 'harvey', 'dent,', 'batman', 'assumes', 'responsibility', ""dent's"", 'crimes', 'protect', 'late', ""attorney's"", 'reputation', 'subsequently', 'hunted', 'gotham', 'city', 'police', 'department.', 'eight', 'years', 'later,', 'batman', 'encounters', 'mysterious', 'selina', 'kyle', 'villainous', 'bane,', 'new', 'terrorist', 'leader', 'overwhelms', ""gotham's"", 'finest.', 'dark', 'knight', 'resurfaces', 'protect', 'city', 'branded', 'enemy.', 'action', 'crime', 'drama', 'thriller', 'dccomics', 'crimefighter', 'terrorist', 'secretidentity', 'burglar', 'hostagedrama', 'timebomb', 'gothamcity', 'vigilante', 'cover-up', 'superhero', 'villainess', 'tragichero', 'terrorism', 'destruction', 'catwoman', 'catburglar', 'imax', 'flood', 'criminalunderworld', 'batman', 'christianbale', 'michaelcaine', 'garyoldman', 'christophernolan']"
4,49529,John Carter,"['john', 'carter', 'war-weary,', 'former', 'military', 'captain', ""who's"", 'inexplicably', 'transported', 'mysterious', 'exotic', 'planet', 'barsoom', '(mars)', 'reluctantly', 'becomes', 'embroiled', 'epic', 'conflict.', 'world', 'brink', 'collapse,', 'carter', 'rediscovers', 'humanity', 'realizes', 'survival', 'barsoom', 'people', 'rests', 'hands.', 'action', 'adventure', 'science fiction', 'basedonnovel', 'mars', 'medallion', 'spacetravel', 'princess', 'alien', 'steampunk', 'martian', 'escape', 'edgarriceburroughs', 'alienrace', 'superhumanstrength', 'marscivilization', 'swordandplanet', '19thcentury', '3d', 'taylorkitsch', 'lynncollins', 'samanthamorton', 'andrewstanton']"
5,559,Spider-Man 3,"['seemingly', 'invincible', 'spider-man', 'goes', 'all-new', 'crop', 'villain', '–', 'including', 'shape-shifting', 'sandman.', 'spider-man’s', 'superpowers', 'altered', 'alien', 'organism,', 'alter', 'ego,', 'peter', 'parker,', 'deals', 'nemesis', 'eddie', 'brock', 'also', 'gets', 'caught', 'love', 'triangle.', 'fantasy', 'action', 'adventure', 'dualidentity', 'amnesia', 'sandstorm', ""loveofone'slife"", 'forgiveness', 'spider', 'wretch', 'deathofafriend', 'egomania', 'sand', 'narcism', 'hostility', 'marvelcomic', 'sequel', 'superhero', 'revenge', 'tobeymaguire', 'kirstendunst', 'jamesfranco', 'samraimi']"
6,38757,Tangled,"[""kingdom's"", 'wanted-and', 'charming-bandit', 'flynn', 'rider', 'hides', 'mysterious', 'tower,', ""he's"", 'taken', 'hostage', 'rapunzel,', 'beautiful', 'feisty', 'tower-bound', 'teen', '70', 'feet', 'magical,', 'golden', 'hair.', ""flynn's"", 'curious', 'captor,', ""who's"", 'looking', 'ticket', 'tower', 'locked', 'away', 'years,', 'strikes', 'deal', 'handsome', 'thief', 'unlikely', 'duo', 'sets', 'action-packed', 'escapade,', 'complete', 'super-cop', 'horse,', 'over-protective', 'chameleon', 'gruff', 'gang', 'pub', 'thugs.', 'animation', 'family', 'hostage', 'magic', 'horse', 'fairytale', 'musical', 'princess', 'animation', 'tower', 'blondewoman', 'selfishness', 'healingpower', 'basedonfairytale', 'duringcreditsstinger', 'healinggift', 'animalsidekick', 'zacharylevi', 'mandymoore', 'donnamurphy', 'byronhoward']"
7,99861,Avengers: Age of Ultron,"['tony', 'stark', 'tries', 'jumpstart', 'dormant', 'peacekeeping', 'program,', 'things', 'go', 'awry', 'earth’s', 'mightiest', 'heroes', 'put', 'ultimate', 'test', 'fate', 'planet', 'hangs', 'balance.', 'villainous', 'ultron', 'emerges,', 'avengers', 'stop', 'enacting', 'terrible', 'plans,', 'soon', 'uneasy', 'alliances', 'unexpected', 'action', 'pave', 'way', 'epic', 'unique', 'global', 'adventure.', 'action', 'adventure', 'science fiction', 'marvelcomic', 'sequel', 'superhero', 'basedoncomicbook', 'vision', 'superheroteam', 'duringcreditsstinger', 'marvelcinematicuniverse', '3d', 'robertdowneyjr.', 'chrishemsworth', 'markruffalo', 'josswhedon']"
8,767,Harry Potter and the Half-Blood Prince,"['harry', 'begins', 'sixth', 'year', 'hogwarts,', 'discovers', 'old', 'book', 'marked', ""'property"", 'half-blood', ""prince',"", 'begins', 'learn', 'lord', ""voldemort's"", 'dark', 'past.', 'adventure', 'fantasy', 'family', 'witch', 'magic', 'broom', 'schoolofwitchcraft', 'wizardry', 'apparition', 'teenagecrush', 'werewolf', 'danielradcliffe', 'rupertgrint', 'emmawatson', 'davidyates']"
9,209112,Batman v Superman: Dawn of Justice,"['fearing', 'actions', 'god-like', 'super', 'hero', 'left', 'unchecked,', 'gotham', 'city’s', 'formidable,', 'forceful', 'vigilante', 'takes', 'metropolis’s', 'revered,', 'modern-day', 'savior,', 'world', 'wrestles', 'sort', 'hero', 'really', 'needs.', 'batman', 'superman', 'war', 'one', 'another,', 'new', 'threat', 'quickly', 'arises,', 'putting', 'mankind', 'greater', 'danger', 'it’s', 'ever', 'known', 'before.', 'action', 'adventure', 'fantasy', 'dccomics', 'vigilante', 'superhero', 'basedoncomicbook', 'revenge', 'superpowers', 'clarkkent', 'brucewayne', 'dcextendeduniverse', 'benaffleck', 'henrycavill', 'galgadot', 'zacksnyder']"
